# General
<leader>w              | Save
<leader>fn             | New File
<leader>R              | Search and replace word under cursor
<leader>r              | Search and replace in visual selection
<leader>mm             | Show messages
<leader>la             | Open Lazy
<leader>lA             | Aerial Symbol Outline
<leader>lc             | Clean Lazy Plugins
<leader>lC             | Check Lazy Plugins
<leader>lm             | Mason LSP Manager
<leader>ls             | Sync Lazy Plugins
<leader>lS             | LSP Symbols Sidebar
<leader>?              | Which-Key Menu
kj                     | Exit insert mode
<C-a>                  | Select all
<C-j>                  | Move line down
<C-k>                  | Move line up
<M-i>                  | Jump to begin of line (insert mode)
<M-a>                  | Jump to end of line (insert mode)
<M-UP>                 | Resize pane up
<M-DOWN>               | Resize pane down
<M-LEFT>               | Resize pane left
<M-RIGHT>              | Resize pane right
<esc>                  | Clear search highlight
z.                     | Fix spelling
z=                     | Spelling suggestions
dD                     | Delete without yanking
c                      | Change without yanking
C                      | Change line without yanking

# Image Preview
<leader>pi             | Initialize Image Preview
<leader>pp             | Clear Images

# Window & Buffer Management
<Space>\              | Split Window Vertically
<Space>/              | Split Window Horizontally
<Space>h/j/k/l         | Move between splits
<Space>m              | Maximize/Equalize split
<S-Left>/<S-Right>     | Previous/Next buffer
<Space>bd              | Delete buffer
<Space>bp              | Pin buffer
<Space>bo              | Close other buffers
<Space>bk              | Pick buffer
<Space>b<left>/<right> | Move buffer left/right
<Space>b1-9            | Go to buffer 1-9
<leader>o              | Open file browser (Oil)
<Space>e               | Toggle file tree (Neo-tree)
<Space>bb              | Toggle buffer list (Neo-tree)

# Telescope
<leader>ff             | Find files
<leader>fg             | Live grep
<leader>fb             | Find buffers
<leader>fo             | Old files
<leader>fr             | Grep string under cursor
<leader>fk             | Keymaps
<leader>fc             | Commands
<leader>fh             | Help tags
<leader>fd             | Diagnostics

# LSP
gra                    | Code action
grn                    | Rename
grr                    | References
grd                    | Definition
gri                    | Implementation
grD                    | Go to declaration
grf                    | Format
grk                    | Signature help
grs                    | Document symbols
grt                    | Type definition
grwa                   | Add workspace folder
grwr                   | Remove workspace folder
grwl                   | List workspace folders
K                      | Hover documentation
<M-CR>                 | Code action
